model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,mgus,0.3,0.142295498246329,0.2468704034310245,10,61.0,1.9,3.9,6.1,0.9999999999995196,1.0,0.3576036866359447,10.160080671310425,0.8107917729999999,0.491258612,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,mgus,0.6,0.1348206883619235,0.1760794991045358,5,20.0,1.0,2.4,4.0,0.99999999755333,1.0,0.4617511520737327,5.036432504653931,0.15420388,0.078769761,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,mgus,0.3333333333333333,0.1422608696705221,0.1463625583364138,3,6.0,1.3333333333333333,0.3333333333333333,2.0,0.9999999880088988,1.0,0.4393241167434716,4.241674900054932,0.0632507279999999,0.013704381,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,mgus,0.125,0.1344502748835407,0.1720176726049641,8,47.0,1.5,4.25,5.875,0.9999999999997112,1.0,0.3617511520737327,1.4103443622589111,0.2649592909999999,0.16273459,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,mgus,0.8333333333333334,0.1300527448106598,0.1852677191860515,6,24.0,0.16666666666666666,3.0,4.0,0.9999999999989336,1.0,0.3740399385560676,10.573259830474854,0.209513739,0.0850621869999999,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,mgus,0.3333333333333333,0.146264032755327,0.1509528698233797,3,7.0,0.3333333333333333,1.6666666666666667,2.3333333333333335,0.9999999999989504,1.0,0.6374807987711213,17.99783182144165,0.34546899,0.17390284,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,mgus,0.5714285714285714,0.1373212627051312,0.2042436510655724,7,25.0,0.7142857142857143,2.2857142857142856,3.5714285714285716,0.916780526202353,1.0,0.4173798551678736,2.0180513858795166,0.179504219,0.059683645,0.8571428571428571,0.8571428571428571,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,mgus,0.8,0.1392903542956317,0.2026589140346284,5,16.0,0.4,2.0,3.2,0.9999999999927875,1.0,0.4648148148148148,0.7633979320526123,0.3344301819999999,0.020309467,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,mgus,0.16666666666666666,0.1570072825633792,0.1137217621018868,6,44.0,1.8333333333333333,5.333333333333333,7.333333333333333,0.999999999989954,1.0,0.4224270353302611,2.078773021697998,0.28996089,0.312150083,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,mgus,0.4,0.1364368843815478,0.1456955282247085,5,21.0,0.6,3.2,4.2,0.9999999999996858,1.0,0.4903225806451613,0.3464417457580566,0.061617621,0.019862802,1.0,1.0,Correlation,Correlation,Correlation
