model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,servo,0.0,0.416244492217045,0.2659939958339563,22808843161460.3,1.386431069763912,0.8859753031940492,228088431614.603,0.9139021303340862,-0.3598785373425901,0.2332225092471072,0.1252533872111077,2585002224966.194,1.3404951204594642,0.7199200236698092,25850022249.661938,0.9139021303340862,-0.1654990510948391,1,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,0.0075278282165527,0.00049827,0.000128429,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,servo,0.0,0.3670192767346038,0.221123710908982,24975409894916.52,1.4031613360832174,0.8453840473972924,249754098949.1652,0.9057238646097268,-0.282124704397281,0.2863649105159576,0.1550020072719415,2201471458734.1426,1.3456496738270978,0.7283657769111016,22014714587.341427,0.892255947880958,-0.2230567196848645,4,0.5,0.75,5.0,1.25,0.0470828462675101,0.83837988030778,0.3349999999999999,0.0126559734344482,0.003834796,0.000657278,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,servo,0.0,0.3575351001992513,0.2086712583501981,25659967563885.61,1.5375881893389562,0.8973957021700961,256599675638.85608,0.9031398248781006,-0.1682086866454399,0.2333815962130365,0.1296299700859729,2908129657241.176,1.3068292079470858,0.7258679942313018,29081296572.411755,0.9031398248781006,-0.1397664266762681,2,0.0,1.0,2.0,1.0,0.0342396894485737,0.8384074941451991,0.5,0.0124547481536865,0.0017749929999999,0.0003101589999999,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,servo,0.0,0.184856421015208,0.1177892976737144,16661157250695.404,1.1980246844185924,0.7633734624875702,166611572506.95404,0.4592071013049481,0.3671846762807859,0.1505852410196289,0.0864659137480332,1765420635836.012,0.8051342889895982,0.4623074048690077,17654206358.36012,0.4878789357226288,0.5722325886904771,3,1.0,0.3333333333333333,4.0,1.3333333333333333,0.4476682127094025,0.6238555325511848,0.4128035320088299,0.0118813514709472,0.003982171,0.0005948889999999,0.3333333333333333,0.3333333333333333,C2,C2,C2
at_least_M-of-N,no_discretization,servo,0.0,0.2433139724923868,0.1228795097498755,25749035502644.96,1.4949683206564424,0.7549955822598978,257490355026.4496,0.9085210493538398,-0.0938688943933887,0.2482448664630193,0.1387971776356173,2728374622797.5176,1.3207899915051164,0.73847216130687,27283746227.97517,0.9085210493538398,-0.1778914124448305,2,0.0,0.5,1.0,0.5,0.0037686074995289,0.8087354146956796,0.9172185430463576,0.007352590560913,0.000840708,0.000270254,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,servo,0.0,0.3586986065408481,0.2282752720935084,17382141897518.56,1.2489798831039094,0.794848983118074,173821418975.18558,0.9238446965850772,-0.5519775422861628,0.2540587789877915,0.1378556187579285,6542949362809.724,1.4553931823368969,0.789715389826245,65429493628.09724,0.9238446965850772,-0.2008168093136184,3,1.0,0.6666666666666666,5.0,1.6666666666666667,0.1306497873955567,0.7221226602947034,0.52,0.0141758918762207,0.004496582,0.000597375,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,servo,0.5,0.3314532957597419,0.2287754738084246,26255475952840.95,1.125063895897238,0.776540855503253,262554759528.4095,0.9008919246538596,-0.5615322851875486,0.2509113044333917,0.1397955960203654,2975620607989.5493,1.331732841066679,0.7419768777545565,29756206079.895493,0.9008919246538596,-0.1660378055042854,4,0.25,0.5,5.0,1.25,0.1327130095095837,0.7948931710959508,0.3766666666666667,0.0213091373443603,0.008855947,0.001004813,0.25,0.25,C2,C2,C2
at_least_M-of-N,no_discretization,servo,0.5,0.1732918577491398,0.1121441138123392,15681089177125.615,0.7913515615550405,0.512115345390723,156810891771.25616,0.459207101304948,0.6675920812112794,0.1604935917179687,0.0889593340484132,1777190106741.5342,0.8903437285358555,0.4935049699922892,17771901067.41534,0.5554454890393645,0.4868592128598407,4,0.75,0.25,6.0,1.5,0.4763174228469409,0.7019725370531822,0.3183333333333333,0.0249419212341308,0.009661961,0.001091258,0.5,0.5,C2,C2,C2
at_least_M-of-N,no_discretization,servo,0.0,0.4262123533919267,0.2596806957709668,24234386355429.477,1.3660803946607654,0.8323191586105351,242343863554.29477,0.9085210493538398,-0.3655445006898867,0.233802933450136,0.1273460575569988,2746563786949.55,1.3360258479751466,0.7276967060388361,27465637869.4955,0.9085210493538398,-0.1462743476396344,1,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,0.0079536437988281,0.000813508,0.000255587,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,servo,0.0,0.3736909621783043,0.2016272788788277,20253050968134.566,1.6631320807034116,0.8973532404787191,202530509681.34567,0.9354265977505648,-0.2102772421133198,0.2480547348801132,0.1338505554548746,2146018645631.3303,1.3703574042461049,0.7394460735397413,21460186456.313305,0.9139021303340862,-0.2210498210524021,3,1.3333333333333333,0.3333333333333333,5.0,1.6666666666666667,0.2133765047237531,0.7416433239962652,0.512141280353201,0.0168640613555908,0.006461647,0.001170805,0.0,0.0,C2,C2,C2
